Symbol,Tick,Company
IDFC,IDFC IS,IDFC LTD
IFBAGRO,IFBA IS,IFB AGRO INDUSTRIES LTD
IFBIND,IFBI IS,IFB INDUSTRIES LTD
IFCI,IFCI IS,IFCI LTD
IFGLEXPOR,IFGLRF IS,IFGL REFRACTORIES LTD
IGARASHI,IGM IS,IGARASHI MOTORS INDIA LTD
IIFL,IIFL IS,IIFL FINANCE LTD
INDLMETER,IMP IS,IMP POWERS LTD
IMPEXFERRO,IMPX IS,IMPEX FERRO TECH LTD
INDIAGLYCO,IGLY IS,INDIA GLYCOLS LTD
INDNIPPON,INE IS,INDIA NIPPON ELECTRICALS LTD
IBREALEST,IBREL IS,INDIABULLS REAL ESTATE LTD
IBVENTURES,IBVE IS,INDIABULLS VENTURES LTD
INDIANB,INBK IS,INDIAN BANK
IEX,IEX IS,INDIAN ENERGY EXCHANGE LTD
IOB,IOB IS,INDIAN OVERSEAS BANK
INDTERRAIN,ITFL IS,INDIAN TERRAIN FASHIONS LTD
ICIL,ICNT IS,INDO COUNT INDUSTRIES LTD
INDOTECH,INDT IS,INDO TECH TRANSFORMERS LTD
INDOTHAI,ITSL IS,INDO THAI SECURITIES LTD
INDOCO,INDR IS,INDOCO REMEDIES LTD
NIPPOBATRY,INNA IS,INDO-NATIONAL LTD
INDOSOLAR,ISLR IS,INDOSOLAR LTD
INDOSTAR,INDOSTAR IS,INDOSTAR CAPITAL FINANCE LTD
INDOWIND,IEL IS,INDOWIND ENERGY LTD
IGL,IGL IS,INDRAPRASTHA GAS LTD
INDSWFTLAB,ISL IS,IND-SWIFT LABORATORIES LTD
INDUSINDBK,IIB IS,INDUSIND BANK LTD
INEOSSTYRO,INEOS IS,INEOS STYROLUTION INDIA LTD
INFIBEAM,INFIBEAM IS,INFIBEAM AVENUES LTD
INFY,INFO IS,INFOSYS LTD
INOXLEISUR,INOL IS,INOX LEISURE LTD
INOXWIND,INXW IS,INOX WIND LTD
INSPIRISYS,INSSL IS,INSPIRISYS SOLUTIONS LTD
INTELLECT,INDA IS,INTELLECT DESIGN ARENA LTD
INTENTECH,INTEC IS,INTENSE TECHNOLOGIES LTD
INDIGO,INDIGO IS,INTERGLOBE AVIATION LTD
IPAPPM,IPAP IS,INTERNATIONAL PAPER APPM LTD
ISFT,ITECH IS,INTRASOFT TECHNOLOGIES LTD
IPCALAB,IPCA IS,IPCA LABORATORIES LTD
IRCON,IRCON IS,IRCON INTERNATIONAL LTD
ISMTLTD,ISMT IS,ISMT LTD
ITC,ITC IS,ITC LTD
ITDCEM,ITCE IS,ITD CEMENTATION INDIA LTD
ITI,ITI IS,ITI LTD
IVP,IVP IS,IVP LTD
IVRCLINFRA,IVRC IS,IVRCL LTD
IZMO,IZMO IS,IZMO LTD
JKIL,JKIL IS,J.KUMAR INFRAPROJECTS LTD
JAGRAN,JAGP IS,JAGRAN PRAKASHAN LTD
JAIBALAJI,JBIL IS,JAI BALAJI INDUSTRIES LTD
JAICORPLTD,JFI IS,JAI CORP LTD
JAIHINDPRO,JHP IS,JAIHIND PROJECTS LTD
JISLDVREQS,JI IS,JAIN IRRIGATION SYSTEMS LTD
JAINSTUDIO,JNS IS,JAIN STUDIOS LTD
JPASSOCIAT,JPA IS,JAIPRAKASH ASSOCIATES LTD
JAMNAAUTO,JMNA IS,JAMNA AUTO INDUSTRIES LTD
JAYBARMARU,JBM IS,JAY BHARAT MARUTI LTD
JAYNECOIND,NGE IS,JAYASWAL NECO INDUSTRIES LTD
JPINFRATEC,JPIN IS,JAYPEE INFRATECH LTD
JBFIND,JBF IS,JBF INDUSTRIES LTD
JBMA,JBMA IS,JBM AUTO LTD
JIKIND,KFS IS,JIK INDUSTRIES LTD
JINDCOT,JCOT IS,JINDAL COTEX LTD
JINDALPHOT,JPL IS,JINDAL PHOTO LTD
JINDALPOLY,JDPF IS,JINDAL POLY FILMS LTD
JINDALSAW,JSAW IS,JINDAL SAW LTD
JSL,JDSL IS,JINDAL STAINLESS LTD
JINDALSTEL,JSP IS,JINDAL STEEL & POWER LTD
JINDWORLD,JINW IS,JINDAL WORLDWIDE LTD
JITFINFRA,JITFIN IS,JITF INFRALOGISTICS LTD
JKCEMENT,JKCE IS,JK CEMENT LTD
JKLAKSHMI,JKLC IS,JK LAKSHMI CEMENT LTD
JKPAPER,JKPAPER IS,JK PAPER LTD
JKTYRE,JKI IS,JK TYRE & INDUSTRIES LTD
JMFINANCIL,JM IS,JM FINANCIAL LTD
JMTAUTOLTD,JMT IS,JMT AUTO LTD
JOCIL,JOCIL IS,JOCIL LTD
JSWENERGY,JSW IS,JSW ENERGY LTD
JSWHL,SWH IS,JSW HOLDINGS LTD
JSWSTEEL,JSTL IS,JSW STEEL LTD
JTEKTINDIA,JTEKT IS,JTEKT INDIA LTD
JUBLFOOD,JUBI IS,JUBILANT FOODWORKS LTD
JUBLINDS,JIND IS,JUBILANT INDUSTRIES LTD
JUBILANT,JUBILANT IS,JUBILANT LIFE SCIENCES LTD
JUSTDIAL,JUST IS,JUST DIAL LTD
JVLAGRO,JVLA IS,JVL AGRO INDUSTRIES LTD
JYOTHYLAB,JYL IS,JYOTHY LABORATORIES LTD
KAJARIACER,KJC IS,KAJARIA CERAMICS LTD
KALYANI,KALYANI IS,KALYANI COMMERCIALS LTD
KALYANIFRG,KF IS,KALYANI FORGE LTD
KSL,KS IS,KALYANI STEELS LTD
KAMDHENU,KAMD IS,KAMDHENU LTD
KANANIIND,KAIL IS,KANANI INDUSTRIES LTD
KANSAINER,KNPL IS,KANSAI NEROLAC PAINTS LTD
KARDA,KARDA IS,KARDA CONSTRUCTIONS LTD
KARMAENG,KENG IS,KARMA ENERGY LTD
KARURVYSYA,KVB IS,KARUR VYSYA BANK LTD
KGL,KARG IS,KARUTURI GLOBAL LTD
KAVVERITEL,KTPL IS,KAVVERI TELECOM PRODUCTS LTD
KAYA,KAYA IS,KAYA LTD
KCP,KCPL IS,KCP LTD
KDDL,KDDL IS,KDDL LTD
KEC,KECI IS,KEC INTERNATIONAL LTD
KEI,KEII IS,KEI INDUSTRIES LTD
KELLTONTEC,KTSL IS,KELLTON TECH SOLUTIONS LTD
KESARENT,KSRE IS,KESAR ENTERPRISES LTD
KESORAMIND,KSI IS,KESORAM INDUSTRIES LTD
KKCL,KEKC IS,KEWAL KIRAN CLOTHING LTD
KHADIM,KHDM IS,KHADIM INDIA LTD
KHAITANELE,KHT IS,KHAITAN ELECTRICALS LTD
KHANDSE,KHDS IS,KHANDWALA SECURITIES LTD
KILITCH,KILD IS,KILITCH DRUGS (INDIA) LTD
KIOCL,KIOCL IS,KIOCL LTD
KIRIINDUS,KIRI IS,KIRI INDUSTRIES LTD
KIRLOSBROS,KKB IS,KIRLOSKAR BROTHERS LTD
KIRLOSIND,KKIL IS,KIRLOSKAR INDUSTRIES LTD
KIRLOSENG,KOEL IS,KIRLOSKAR OIL ENGINES LTD
KITEX,KTG IS,KITEX GARMENTS LTD
KNRCON,KNRC IS,KNR CONSTRUCTIONS LTD
KOHINOOR,KFL IS,KOHINOOR FOODS LTD
KOKUYOCMLN,CAMLN IS,KOKUYO CAMLIN LTD
KOPRAN,KOP IS,KOPRAN LTD
KOTAKBANK,KMB IS,KOTAK MAHINDRA BANK LTD
KOTHARIPET,KTPC IS,KOTHARI PETROCHEMICALS LTD
KOTHARIPRO,KTP IS,KOTHARI PRODUCTS LTD
KPITTECH,KPITTECH IS,KPIT TECHNOLOGIES LTD
KRBL,KRB IS,KRBL LTD
KRIDHANINF,KRID IS,KRIDHAN INFRA LTD
KSB,KSB IS,KSB LTD
KSK,KSK IS,KSK ENERGY VENTURES LTD
KSERASERA,KSLD IS,KSS LTD
KWALITY,KWALITY IS,KWALITY LTD
L&TFH,LTFH IS,L&T FINANCE HOLDINGS LTD
LTTS,LTTS IS,L&T TECHNOLOGY SERVICES LTD
LAOPALA,LOG IS,LA OPALA RG LTD
LAXMIMACH,LMW IS,LAKSHMI MACHINE WORKS LTD
LAKSHVILAS,LVB IS,LAKSHMI VILAS BANK LTD
LTI,LTI IS,LARSEN & TOUBRO INFOTECH LTD
LT,LT IS,LARSEN & TOUBRO LTD
LASA,LASA IS,LASA SUPERGENERICS LTD
LAURUSLABS,LAURUS IS,LAURUS LABS LTD
LEEL,LEEL IS,LEEL ELECTRICALS LTD
LEMONTREE,LEMONTRE IS,LEMON TREE HOTELS LTD
LGBFORGE,LGBF IS,LGB FORGE LTD
LIBERTSHOE,LBS IS,LIBERTY SHOES LTD
LICHSGFIN,LICHF IS,LIC HOUSING FINANCE LTD
LINCPEN,LPP IS,LINC PEN & PLASTICS LTD
LINCOLN,LPH IS,LINCOLN PHARMACEUTICALS LTD
LINDEINDIA,LIIL IS,LINDE INDIA LTD
LSIL,LSILIN IS,LLOYDS STEELS INDUSTRIES LTD
LOKESHMACH,LOKM IS,LOKESH MACHINES LTD
LOVABLE,LLL IS,LOVABLE LINGERIE LTD
DAAWAT,LTFO IS,LT FOODS LTD
LUMAXTECH,LMAX IS,LUMAX AUTO TECHNOLOGIES LTD
LUMAXIND,LUMX IS,LUMAX INDUSTRIES LTD
LUPIN,LPC IS,LUPIN LTD
LUXIND,LUX IS,LUX INDUSTRIES LTD
LYKALABS,LYKA IS,LYKA LABS LTD
LYPSAGEMS,LYPS IS,LYPSA GEMS & JEWELLERY LTD
MAANALU,MALU IS,MAAN ALUMINIUM LTD
MADHUCON,MDHPJ IS,MADHUCON PROJECTS LTD
MADRASFERT,MDF IS,MADRAS FERTILIZERS LTD
MAGADSUGAR,MGDH IS,MAGADH SUGAR & ENERGY LTD
MAGMA,MGMA IS,MAGMA FINCORP LTD
MAGNUM,MAG IS,MAGNUM VENTURES LTD
MGL,MAHGL IS,MAHANAGAR GAS LTD
MAHSCOOTER,MHSC IS,MAHARASHTRA SCOOTERS LTD
MAHSEAMLES,MHS IS,MAHARASHTRA SEAMLESS LTD
MAHESHWARI,MLL IS,MAHESHWARI LOGISTICS LTD
M&M,MM IS,MAHINDRA & MAHINDRA LTD
MAHINDCIE,MACA IS,MAHINDRA CIE AUTOMOTIVE LTD
MAHLOG,MAHLOG IS,MAHINDRA LOGISTICS LTD
MAITHANALL,MAIT IS,MAITHAN ALLOYS LTD
MAJESCO,MJCO IS,MAJESCO LTD
MALUPAPER,MALP IS,MALU PAPER MILLS LTD
MANINDS,MAN IS,MAN INDUSTRIES (INDIA) LTD
MANINFRA,MINF IS,MAN INFRACONSTRUCTION LTD
MANAKSIA,MANL IS,MANAKSIA LTD
MANAKSTEEL,MASTL IS,MANAKSIA STEELS LTD
MANALIPETC,MPCH IS,MANALI PETROCHEMICALS LTD
MANAPPURAM,MGFL IS,MANAPPURAM FINANCE LTD
MIL,MNDN IS,MANDHANA INDUSTRIES LTD
MANGLMCEM,MGC IS,MANGALAM CEMENT LTD
MANGTIMBER,MGTP IS,MANGALAM TIMBER PRODUCTS LTD
MANPASAND,MANB IS,MANPASAND BEVERAGES LTD
MANUGRAPH,MI IS,MANUGRAPH INDIA LTD
MARALOVER,MO IS,MARAL OVERSEAS LTD
MARATHON,MNRT IS,MARATHON NEXTGEN REALTY LTD
MARICO,MRCO IS,MARICO LTD
MARKSANS,MRKS IS,MARKSANS PHARMA LTD
MARUTI,MSIL IS,MARUTI SUZUKI INDIA LTD
MASFIN,MASFIN IS,MAS FINANCIAL SERVICES LTD
MASKINVEST,MASKIN IS,MASK INVESTMENTS LTD
MASTEK,MAST IS,MASTEK LTD
MATRIMONY,MATRIM IS,MATRIMONY.COM LTD
MAWANASUG,MWNS IS,MAWANA SUGARS LTD
MFSL,MAXF IS,MAX FINANCIAL SERVICES LTD
MAYURUNIQ,MUNI IS,MAYUR UNIQUOTERS LTD
MAZDA,MZC IS,MAZDA LTD
MBLINFRA,MBL IS,MBL INFRASTRUCTURES LTD
MCDHOLDING,MACH IS,MCDOWELL HOLDINGS LTD
MCLEODRUSS,MCLR IS,MCLEOD RUSSEL INDIA LTD
MEGASOFT,MGSF IS,MEGASOFT LTD
MEGH,MEGH IS,MEGHMANI ORGANICS LTD
MENONBE,MEN IS,MENON BEARINGS LTD
MERCATOR,MRLN IS,MERCATOR LTD
METALFORGE,MEFO IS,METALYST FORGINGS LTD
METROPOLIS,METROHL IS,METROPOLIS HEALTHCARE LTD
MIC,MICE IS,MIC ELECTRONICS LTD
MINDAIND,MNDA IS,MINDA INDUSTRIES LTD
MINDTECK,HDTI IS,MINDTECK (INDIA) LTD
MINDTREE,MTCL IS,MINDTREE LTD
MIRCELECTR,MIRC IS,MIRC ELECTRONICS LTD
MIRZAINT,MRZI IS,MIRZA INTERNATIONAL LTD
MIDHANI,MIDHANI IS,MISHRA DHATU NIGAM LTD
MMTC,MMTC IS,MMTC LTD
MODIRUBBER,MDR IS,MODI RUBBER LTD
MOHITIND,MHFB IS,MOHIT INDUSTRIES LTD
MOHOTAIND,MOHOTA IS,MOHOTA INDUSTRIES LTD
MOIL,MOIL IS,MOIL LTD
MOLDTKPAC,MTEP IS,MOLD-TEK PACKAGING LTD
MOLDTECH,MTEK IS,MOLD-TEK TECHNOLOGIES LTD
AIONJSW,MISP IS,MONNET ISPAT & ENERGY LTD
MONSANTO,MCHM IS,MONSANTO INDIA LTD
MONTECARLO,MOCF IS,MONTE CARLO FASHIONS LTD
MORARJEE,MTEX IS,MORARJEE TEXTILES LTD
MOREPENLAB,MORE IS,MOREPEN LABORATORIES LTD
MOTHERSUMI,MSS IS,MOTHERSON SUMI SYSTEMS LTD
MPHASIS,MPHL IS,MPHASIS LTD
MPSLTD,MPS IS,MPS LTD
MRF,MRF IS,MRF LTD
MRO-TEK,MROTK IS,MRO-TEK REALTY LTD
MSPL,MSPS IS,MSP STEEL & POWER LTD
MSTCLTD,MSTCLTD IS,MSTC LTD
MTEDUCARE,MTEL IS,MT EDUCARE LTD
MUKANDENGG,MKE IS,MUKAND ENGINEERS LTD
MUKANDLTD,MUK IS,MUKAND LTD
MUKTAARTS,MKTA IS,MUKTA ARTS LTD
MUNJALAU,GCY IS,MUNJAL AUTO INDUSTRIES LTD
MUNJALSHOW,MJS IS,MUNJAL SHOWA LTD
RADIOCITY,RADIOCIT IS,MUSIC BROADCAST LTD
MUTHOOTCAP,MTCS IS,MUTHOOT CAPITAL SERVICES LTD
MUTHOOTFIN,MUTH IS,MUTHOOT FINANCE LTD
MVL,MVLL IS,MVL LTD
NACLIND,NACLIND IS,NACL INDUSTRIES LTD
NDGL,NDGL IS,NAGA DHUNSERI GROUP LTD
NAGAROIL,NOFL IS,NAGARJUNA OIL REFINERY LTD
NAGREEKEXP,NGRE IS,NAGREEKA EXPORTS LTD
NAHARPOLY,NPFL IS,NAHAR POLY FILMS LTD
NAHARSPING,NSM IS,NAHAR SPINNING MILLS LTD
NSIL,NINV IS,NALWA SONS INVESTMENTS LTD
NDL,NAND IS,NANDAN DENIM LTD
NATCOPHARM,NTCPH IS,NATCO PHARMA LTD
NFL,NFL IS,NATIONAL FERTILIZERS LTD
NBVENTURES,NBVL IS,NAVA BHARAT VENTURES LTD
NAVNETEDUL,NELI IS,NAVNEET EDUCATION LTD
NCC,NJCC IS,NCC LTD
NCLIND,NCLI IS,NCL INDUSTRIES LTD
NECLIFE,NLSC IS,NECTAR LIFESCIENCES LTD
NITESHEST,NITE IS,NEL HOLDINGS LTD
NELCAST,NELC IS,NELCAST LTD
NELCO,NELCO IS,NELCO LTD
NEOGEN,NEOGEN IS,NEOGEN CHEMICALS LTD
NESCO,NSE IS,NESCO LTD
NESTLEIND,NEST IS,NESTLE INDIA LTD
NTL,NEUTL IS,NEUEON TOWERS LTD
NEULANDLAB,NLL IS,NEULAND LABORATORIES LTD
NDTV,NDTV IS,NEW DELHI TELEVISION LTD
NEXTMEDIA,NML IS,NEXT MEDIAWORKS LTD
NHPC,NHPC IS,NHPC LTD
NIITLTD,NIIT IS,NIIT LTD
NIITTECH,NITEC IS,NIIT TECHNOLOGIES LTD
NILASPACES,NILASPAC IS,NILA SPACES LTD
NILKAMAL,NILK IS,NILKAMAL LTD
NIRAJISPAT,NIRAJI IS,NIRAJ ISPAT INDUSTRIES LTD
NITCO,NITCO IS,NITCO LTD
NITINSPIN,NSPL IS,NITIN SPINNERS LTD
NKIND,NKI IS,NK INDUSTRIES LTD
NLCINDIA,NLC IS,NLC INDIA LTD
NMDC,NMDC IS,NMDC LTD
NOCIL,NOCIL IS,NOCIL LTD
NIBL,NIBL IS,NRB INDUSTRIAL BEARINGS LTD
NTPC,NTPC IS,NTPC LTD
NUCLEUS,NCS IS,NUCLEUS SOFTWARE EXPORTS LTD
OBEROIRLTY,OBER IS,OBEROI REALTY LTD
OISL,OISL IS,OCL IRON AND STEEL LTD
OILCOUNTUB,OIL IS,OIL COUNTRY TUBULAR LTD
OIL,OINL IS,OIL INDIA LTD
OLECTRA,OLECTRA IS,OLECTRA GREENTECH LTD
OMMETALS,OMM IS,OM METALS INFRAPROJECTS LTD
OMAXAUTO,OMAX IS,OMAX AUTOS LTD
OMAXE,OAXE IS,OMAXE LTD
ONEPOINT,ONEPOINT IS,ONE POINT ONE SOLUTIONS LTD
ONELIFECAP,OCAP IS,ONELIFE CAPITAL ADVISORS LTD
ONMOBILE,ONMB IS,ONMOBILE GLOBAL LTD
ONWARDTEC,ONT IS,ONWARD TECHNOLOGIES LTD
OPTIEMUS,OPIL IS,OPTIEMUS INFRACOM LTD
ORBTEXP,OEX IS,ORBIT EXPORTS LTD
ORCHIDPHAR,ORCP IS,ORCHID PHARMA LTD
ORICONENT,OTE IS,ORICON ENTERPRISES LTD
ORIENTABRA,OA IS,ORIENT ABRASIVES LTD
ORIENTBELL,OBL IS,ORIENT BELL LTD
ORIENTCEM,ORCMNT IS,ORIENT CEMENT LTD
ORIENTELEC,ORIENTEL IS,ORIENT ELECTRIC LTD
ORIENTLTD,OP IS,ORIENT PRESS LTD
ORIENTREF,ORIENT IS,ORIENT REFRACTORIES LTD
ORIENTBANK,OBC IS,ORIENTAL BANK OF COMMERCE
ORIENTHOT,OTH IS,ORIENTAL HOTELS LTD
ORIENTALTL,OTRI IS,ORIENTAL TRIMEX LTD
ORTEL,ORTEL IS,ORTEL COMMUNICATIONS LTD
ORTINLABSS,ORTL IS,ORTIN LABORATORIES LTD
OSWALAGRO,OWAM IS,OSWAL AGRO MILLS LTD
PAEL,PAE IS,PAE LTD
PAGEIND,PAG IS,PAGE INDUSTRIES LTD
PAISALO,PAISALO IS,PAISALO DIGITAL LTD
PALASHSECU,PALASH IS,PALASH SECURITIES LTD
PALREDTEC,PALT IS,PALRED TECHNOLOGIES LTD
PANACEABIO,PNCB IS,PANACEA BIOTEC LTD
PANAMAPET,PNPC IS,PANAMA PETROCHEM LTD
PARABDRUGS,PDL IS,PARABOLIC DRUGS LTD
PARAGMILK,PARAG IS,PARAG MILK FOODS LTD
PARSVNATH,PARSV IS,PARSVNATH DEVELOPERS LTD
PATELENG,PEC IS,PATEL ENGINEERING LTD
PATSPINLTD,PTS IS,PATSPIN INDIA LTD
PCJEWELLER,PCJL IS,PC JEWELLER LTD
PGIL,PGIL IS,PEARL GLOBAL INDUSTRIES LTD
PEARLPOLY,PRLP IS,PEARL POLYMERS LTD
PENINLAND,PENL IS,PENINSULA LAND LTD
PENIND,PSL IS,PENNAR INDUSTRIES LTD
PERSISTENT,PSYS IS,PERSISTENT SYSTEMS LTD
PETRONET,PLNG IS,PETRONET LNG LTD
PFIZER,PFIZ IS,PFIZER LTD
PGEL,PGEL IS,PG ELECTROPLAST LTD
PHILIPCARB,PHCB IS,PHILLIPS CARBON BLACK LTD
PIIND,PI IS,PI INDUSTRIES LTD
PIDILITIND,PIDI IS,PIDILITE INDUSTRIES LTD
PILITA,PIIL IS,PIL ITALICA LIFESTYLE LTD
PIONDIST,PND IS,PIONEER DISTILLERIES LTD
PIONEEREMB,PNE IS,PIONEER EMBROIDERIES LTD
PEL,PIEL IS,PIRAMAL ENTERPRISES LTD
PIRPHYTO,PPHL IS,PIRAMAL PHYTOCARE LTD
PITTIENG,PITTIENG IS,PITTI ENGINEERING LTD
PLASTIBLEN,PBL IS,PLASTIBLENDS INDIA LTD
PNBGILTS,PGLT IS,PNB GILTS LTD
PNBHOUSING,PNBHOUSI IS,PNB HOUSING FINANCE LTD
PNCINFRA,PNCL IS,PNC INFRATECH LTD
PODDARMENT,PPG IS,PODDAR PIGMENTS LTD
POKARNA,POKR IS,POKARNA LTD
POLYMED,PLM IS,POLY MEDICURE LTD
POLYCAB,POLYCAB IS,POLYCAB INDIA LTD
POLYPLEX,PPC IS,POLYPLEX CORPORATION LTD
POWERMECH,POWM IS,POWER MECH PROJECTS LTD
PPAP,PPAP IS,PPAP AUTOMOTIVE LTD
PRABHAT,PRABHAT IS,PRABHAT DAIRY LTD
PRADIP,PRAD IS,PRADIP OVERSEAS LTD
PRAJIND,PRJ IS,PRAJ INDUSTRIES LTD
PRAKASHCON,PRAK IS,PRAKASH CONSTROWELL LTD
PRAKASH,PKI IS,PRAKASH INDUSTRIES LTD
PPL,PRAKPIPE IS,PRAKASH PIPES LTD
PRAKASHSTL,PKSL IS,PRAKASH STEELAGE LTD
DIAMONDYD,DIAMOND IS,PRATAAP SNACKS LTD
PRAXIS,PRAXIS IS,PRAXIS HOME RETAIL LTD
PRECAM,PRECAM IS,PRECISION CAMSHAFTS LTD
PRECWIRE,PWI IS,PRECISION WIRES INDIA LTD
PRECOT,PRTM IS,PRECOT MERIDIAN LTD
PREMEXPLN,PRE IS,PREMIER EXPLOSIVES LTD
PREMIER,PREM IS,PREMIER LTD
PREMIERPOL,PRPF IS,PREMIER POLYFILM LTD
PRESSMN,PMAL IS,PRESSMAN ADVERTISING LTD
PRICOLLTD,PRICOL IS,PRICOL LTD
PFOCUS,PRIF IS,PRIME FOCUS LTD
PRIMESECU,PSEC IS,PRIME SECURITIES LTD
PRSMJOHNSN,PRSMJ IS,PRISM JOHNSON LTD
PGHL,PGHL IS,PROCTER & GAMBLE HEALTH LTD
PROSEED,PROSEED IS,PROSEED INDIA LTD
PROVOGE,PROV IS,PROVOGUE (INDIA) LTD
PROZONINTU,PROZONE IS,PROZONE INTU PROPERTIES LTD
PSL,PSLL IS,PSL LTD
PSPPROJECT,PSPPL IS,PSP PROJECTS LTD
PTC,PTCIN IS,PTC INDIA LTD
PTL,PTLE IS,PTL ENTERPRISES LTD
PDMJEPAPER,PDMJ IS,PUDUMJEE PAPER PRODUCTS LTD
PUNJLLOYD,PUNJ IS,PUNJ LLOYD LTD
PSB,PJSB IS,PUNJAB & SIND BANK
PNB,PNB IS,PUNJAB NATIONAL BANK
PURVA,PURVA IS,PURAVANKARA LTD
PVR,PVRL IS,PVR LTD
QUESS,QUESS IS,QUESS CORP LTD
QUICKHEAL,QUICKHEA IS,QUICK HEAL TECHNOLOGIES LTD
QUINTEGRA,QSL IS,QUINTEGRA SOLUTIONS LTD
RSYSTEMS,RSYS IS,R SYSTEMS INTERNATIONAL LTD
RPPINFRA,RPP IS,R.P.P. INFRA PROJECTS LTD
RADAAN,RMIL IS,RADAAN MEDIAWORKS INDIA LTD
RMCL,RMCL IS,RADHA MADHAV CORPORATION LTD
RADICO,RDCK IS,RADICO KHAITAN LTD
RVNL,RVNL IS,RAIL VIKAS NIGAM LTD
RAIN,RINDL IS,RAIN INDUSTRIES LTD
RAINBOWPAP,RBWP IS,RAINBOW PAPERS LTD
RAJRAYON,RJI IS,RAJ RAYON INDUSTRIES LTD
RAJTV,RAJT IS,RAJ TELEVISION NETWORK LTD
ARENTERP,ARE IS,RAJDARSHAN INDUSTRIES LTD
RAJESHEXPO,RJEX IS,RAJESH EXPORTS LTD
RAJVIR,RAJV IS,RAJVIR INDUSTRIES LTD
RALLIS,RALI IS,RALLIS INDIA LTD
RAMASTEEL,RASTL IS,RAMA STEEL TUBES LTD
RAMCOIND,RAMCO IS,RAMCO INDUSTRIES LTD
RAMCOSYS,RMCS IS,RAMCO SYSTEMS LTD
RAMGOPOLY,RGP IS,RAMGOPAL POLYTEX LTD
RKFORGE,RMKF IS,RAMKRISHNA FORGINGS LTD
RAMKY,RMKY IS,RAMKY INFRASTRUCTURE LTD
RANASUG,RANA IS,RANA SUGARS LTD
RBL,RABL IS,RANE BRAKE LINING LTD
RANEHOLDIN,RHL IS,RANE HOLDINGS LTD
RATNAMANI,RMT IS,RATNAMANI METALS & TUBES LTD
RTNPOWER,RTPOW IS,RATTANINDIA POWER LTD
RKDL,RKD IS,RAVI KUMAR DISTILLERIES LTD
RAYMOND,RW IS,RAYMOND LTD
RBLBANK,RBK IS,RBL BANK LTD
RECLTD,RECL IS,REC LTD
REFEX,REFX IS,REFEX INDUSTRIES LTD
REGENCERAM,RGC IS,REGENCY CERAMICS LTD
RELAXO,RLXF IS,RELAXO FOOTWEARS LTD
RELCAPITAL,RCAPT IS,RELIANCE CAPITAL LTD
RCOM,RCOM IS,RELIANCE COMMUNICATIONS LTD
RHFL,RELHOME IS,RELIANCE HOME FINANCE LTD
RELIANCE,RIL IS,RELIANCE INDUSTRIES LTD
RELINFRA,RELI IS,RELIANCE INFRASTRUCTURE LTD
RPOWER,RPWR IS,RELIANCE POWER LTD
RELIGARE,RELG IS,RELIGARE ENTERPRISES LTD
REMSONSIND,RSID IS,REMSONS INDUSTRIES LTD
RGL,RENGL IS,RENAISSANCE GLOBAL LTD
REPCOHOME,REPCO IS,REPCO HOME FINANCE LTD
REPRO,REPR IS,REPRO INDIA LTD
RESPONIND,RESP IS,RESPONSIVE INDUSTRIES LTD
REVATHI,RCP IS,REVATHI EQUIPMENT LTD
RICOAUTO,RAI IS,RICO AUTO INDUSTRIES LTD
RITES,RITE IS,RITES LTD
ROLLT,RLT IS,ROLLATAINERS LTD
ROLTA,RLTA IS,ROLTA INDIA LTD
ROSSELLIND,ROST IS,ROSSELL INDIA LTD
ROHLTD,ROHL IS,ROYAL ORCHID HOTELS LTD
RPGLIFE,RPGL IS,RPG LIFE SCIENCES LTD
RSWM,RJS IS,RSWM LTD
RUCHINFRA,CLFL IS,RUCHI INFRASTRUCTURE LTD
RUCHISOYA,RSI IS,RUCHI SOYA INDUSTRIES LTD
RUCHIRA,RUCP IS,RUCHIRA PAPERS LTD
RUPA,RUPA IS,RUPA & COMPANY LTD
RUSHIL,RDL IS,RUSHIL DECOR LTD
SADBHAV,SADE IS,SADBHAV ENGINEERING LTD
SAGCEM,SGC IS,SAGAR CEMENTS LTD
SAGARDEEP,SAGARDEE IS,SAGARDEEP ALLOYS LTD
SAKAR,SAKAR IS,SAKAR HEALTHCARE LTD
SAKSOFT,SAK IS,SAKSOFT LTD
SAKHTISUG,STSG IS,SAKTHI SUGARS LTD
SAKUMA,SAEL IS,SAKUMA EXPORTS LTD
SALONA,SALC IS,SALONA COTSPIN LTD
SALZERELEC,SZE IS,SALZER ELECTRONICS LTD
SAMBHAAV,PLS IS,SAMBHAAV MEDIA LTD
SANCO,SAIN IS,SANCO INDUSTRIES LTD
SANDHAR,SANDHAR IS,SANDHAR TECHNOLOGIES LTD
SANGAMIND,SNGM IS,SANGAM (INDIA) LTD
SANGHIIND,SNGI IS,SANGHI INDUSTRIES LTD
SANGHVIMOV,SGM IS,SANGHVI MOVERS LTD
SANOFI,SANL IS,SANOFI INDIA LTD
SANWARIA,SANWCL IS,SANWARIA CONSUMER LTD
SARDAEN,SEML IS,SARDA ENERGY & MINERALS LTD
SAREGAMA,SARE IS,SAREGAMA INDIA LTD
SARLAPOLY,SRPL IS,SARLA PERFORMANCE FIBERS LTD
SASKEN,SASKEN IS,SASKEN TECHNOLOGIES LTD
SASTASUNDR,SASV IS,SASTASUNDAR VENTURES LTD
SATHAISPAT,SVI IS,SATHAVAHANA ISPAT LTD
